frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,257:226
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,225:194
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,193:162
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,161:130
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,129:98
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,97:66
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,65:34
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,33:2
frame8,8,2,1100_0000_0000_0000_0000_0000_0000_0000,1:0
frame9,9,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame10,10,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame11,11,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
