Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,19
design__inferred_latch__count,0
design__instance__count,4080
design__instance__area,78085.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 287.28 287.28
design__core__bbox,3.36 3.92 283.92 282.24
design__io,510
design__die__area,82529.8
design__core__area,78085.5
design__instance__count__stdcell,2791
design__instance__area__stdcell,69374.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.888448
design__instance__utilization__stdcell,0.888448
design__rows,71
design__rows:GF018hv5v_mcu_sc7,71
design__sites,35571
design__sites:GF018hv5v_mcu_sc7,35571
design__instance__count__class:buffer,253
design__instance__area__class:buffer,3332.31
design__instance__count__class:inverter,118
design__instance__area__class:inverter,1036.13
design__instance__count__class:sequential_cell,624
design__instance__area__class:sequential_cell,27554.2
design__instance__count__class:multi_input_combinational_cell,830
design__instance__area__class:multi_input_combinational_cell,30348.6
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,142
design__instance__area__class:endcap_cell,623.437
design__instance__count__class:tap_cell,511
design__instance__area__class:tap_cell,2243.49
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,174156
design__violations,0
design__instance__count__class:clock_buffer,7
design__instance__area__class:clock_buffer,671.731
design__instance__count__class:timing_repair_buffer,253
design__instance__area__class:timing_repair_buffer,3332.31
global_route__vias,99
global_route__wirelength,325819
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,6
design__instance__count__class:antenna_cell,53
design__instance__area__class:antenna_cell,232.691
route__net,2339
route__net__special,2
route__drc_errors__iter:0,85
route__wirelength__iter:0,235618
route__drc_errors__iter:1,25
route__wirelength__iter:1,235601
route__drc_errors__iter:2,13
route__wirelength__iter:2,235599
route__drc_errors__iter:3,1
route__wirelength__iter:3,235642
route__drc_errors__iter:4,0
route__wirelength__iter:4,235645
route__drc_errors__iter:5,0
route__wirelength__iter:5,235182
route__drc_errors,0
route__wirelength,235645
route__vias,21087
route__vias__singlecut,21087
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1612.27
design__instance__count__class:fill_cell,1289
design__instance__area__class:fill_cell,8710.55
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.9993
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99976
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000697472
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000957768
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.00023404
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000957768
design_powergrid__voltage__worst,0.000957768
design_powergrid__voltage__worst__net:VDD,4.9993
design_powergrid__drop__worst,0.000957768
design_powergrid__drop__worst__net:VDD,0.000697472
design_powergrid__voltage__worst__net:VSS,0.000957768
design_powergrid__drop__worst__net:VSS,0.000957768
ir__voltage__worst,5
ir__drop__avg,0.0002390000000000000088783147500492987092002294957637786865234375
ir__drop__worst,0.000697000000000000028387014960884471292956732213497161865234375
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
