Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,512
design__instance__area,9518.39
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 158.48 71.12
design__core__bbox,3.36 3.92 155.12 66.64
design__io,180
design__die__area,11271.1
design__core__area,9518.39
design__instance__count__stdcell,273
design__instance__area__stdcell,4693.34
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.493081
design__instance__utilization__stdcell,0.493081
design__rows,16
design__rows:GF018hv5v_mcu_sc7,16
design__sites,4336
design__sites:GF018hv5v_mcu_sc7,4336
design__instance__count__class:buffer,89
design__instance__area__class:buffer,1558.59
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,32
design__instance__area__class:endcap_cell,140.493
design__instance__count__class:tap_cell,63
design__instance__area__class:tap_cell,276.595
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,11869.4
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,13.1712
design__instance__count__class:timing_repair_buffer,88
design__instance__area__class:timing_repair_buffer,2704.49
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,1101
global_route__wirelength,14733
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,267
route__net__special,2
route__drc_errors__iter:0,55
route__wirelength__iter:0,11935
route__drc_errors__iter:1,2
route__wirelength__iter:1,11902
route__drc_errors__iter:2,2
route__wirelength__iter:2,11887
route__drc_errors__iter:3,0
route__wirelength__iter:3,11881
route__drc_errors,0
route__wirelength,11881
route__vias,854
route__vias__singlecut,854
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,167.86
design__instance__count__class:fill_cell,239
design__instance__area__class:fill_cell,4825.05
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99986
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99994
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000135748
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.00011514
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000489518
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.00011514
design_powergrid__voltage__worst,0.00011514
design_powergrid__voltage__worst__net:VDD,4.99986
design_powergrid__drop__worst,0.000135748
design_powergrid__drop__worst__net:VDD,0.000135748
design_powergrid__voltage__worst__net:VSS,0.00011514
design_powergrid__drop__worst__net:VSS,0.00011514
ir__voltage__worst,5
ir__drop__avg,0.000060699999999999998206122453492383783668628893792629241943359375
ir__drop__worst,0.0001359999999999999989279408918463332156534306704998016357421875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
