Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,1010
design__instance__area,17596.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 287.28 71.12
design__core__bbox,3.36 3.92 283.92 66.64
design__io,213
design__die__area,20431.4
design__core__area,17596.7
design__instance__count__stdcell,473
design__instance__area__stdcell,6203.64
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.352545
design__instance__utilization__stdcell,0.352545
design__rows,16
design__rows:GF018hv5v_mcu_sc7,16
design__sites,8016
design__sites:GF018hv5v_mcu_sc7,8016
design__instance__count__class:buffer,105
design__instance__area__class:buffer,1839.58
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,32
design__instance__area__class:endcap_cell,140.493
design__instance__count__class:tap_cell,126
design__instance__area__class:tap_cell,553.19
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,25152.3
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,13.1712
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,3196.21
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,2016
global_route__wirelength,38715
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,105
design__instance__area__class:antenna_cell,460.992
antenna_diodes_count,0
route__net,316
route__net__special,2
route__drc_errors__iter:0,155
route__wirelength__iter:0,27387
route__drc_errors__iter:1,0
route__wirelength__iter:1,27080
route__drc_errors,0
route__wirelength,27080
route__vias,1565
route__vias__singlecut,1565
route__vias__multicut,0
design__disconnected_pin__count,1
design__critical_disconnected_pin__count,0
route__wirelength__max,395.22
design__instance__count__class:fill_cell,537
design__instance__area__class:fill_cell,11393.1
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99982
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99995
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000184892
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000111271
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000445717
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000111271
design_powergrid__voltage__worst,0.000111271
design_powergrid__voltage__worst__net:VDD,4.99982
design_powergrid__drop__worst,0.000184892
design_powergrid__drop__worst__net:VDD,0.000184892
design_powergrid__voltage__worst__net:VSS,0.000111271
design_powergrid__drop__worst__net:VSS,0.000111271
ir__voltage__worst,5
ir__drop__avg,0.0000542999999999999984957345378067117280806996859610080718994140625
ir__drop__worst,0.0001849999999999999973458730817554851455497555434703826904296875
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
