Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,511
design__instance__area,9518.39
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 158.48 71.12
design__core__bbox,3.36 3.92 155.12 66.64
design__io,180
design__die__area,11271.1
design__core__area,9518.39
design__instance__count__stdcell,273
design__instance__area__stdcell,4693.34
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.493081
design__instance__utilization__stdcell,0.493081
design__rows,16
design__rows:GF018hv5v_mcu_sc7,16
design__sites,4336
design__sites:GF018hv5v_mcu_sc7,4336
design__instance__count__class:buffer,89
design__instance__area__class:buffer,1558.59
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,32
design__instance__area__class:endcap_cell,140.493
design__instance__count__class:tap_cell,63
design__instance__area__class:tap_cell,276.595
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,12531.1
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,13.1712
design__instance__count__class:timing_repair_buffer,88
design__instance__area__class:timing_repair_buffer,2704.49
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,1063
global_route__wirelength,15212
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,267
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,12630
route__drc_errors__iter:1,3
route__wirelength__iter:1,12545
route__drc_errors__iter:2,1
route__wirelength__iter:2,12551
route__drc_errors__iter:3,0
route__wirelength__iter:3,12550
route__drc_errors,0
route__wirelength,12550
route__vias,846
route__vias__singlecut,846
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,267.54
design__instance__count__class:fill_cell,238
design__instance__area__class:fill_cell,4825.05
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99984
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99994
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000162741
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000142731
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000513167
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000142731
design_powergrid__voltage__worst,0.000142731
design_powergrid__voltage__worst__net:VDD,4.99984
design_powergrid__drop__worst,0.000162741
design_powergrid__drop__worst__net:VDD,0.000162741
design_powergrid__voltage__worst__net:VSS,0.000142731
design_powergrid__drop__worst__net:VSS,0.000142731
ir__voltage__worst,5
ir__drop__avg,0.0000592999999999999980577168601225679367416887544095516204833984375
ir__drop__worst,0.0001630000000000000046941617259932399974786676466464996337890625
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
