Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,1000
design__instance__area,19774.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 322.0 71.12
design__core__bbox,3.36 3.92 318.64 66.64
design__io,212
design__die__area,22900.6
design__core__area,19774.4
design__instance__count__stdcell,491
design__instance__area__stdcell,6282.66
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.317718
design__instance__utilization__stdcell,0.317718
design__rows,16
design__rows:GF018hv5v_mcu_sc7,16
design__sites,9008
design__sites:GF018hv5v_mcu_sc7,9008
design__instance__count__class:buffer,105
design__instance__area__class:buffer,1839.58
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:endcap_cell,32
design__instance__area__class:endcap_cell,140.493
design__instance__count__class:tap_cell,144
design__instance__area__class:tap_cell,632.218
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,29492.6
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,13.1712
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,3196.21
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,2329
global_route__wirelength,47006
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
design__instance__count__class:antenna_cell,105
design__instance__area__class:antenna_cell,460.992
antenna_diodes_count,0
route__net,315
route__net__special,2
route__drc_errors__iter:0,159
route__wirelength__iter:0,32097
route__drc_errors__iter:1,2
route__wirelength__iter:1,31424
route__drc_errors__iter:2,0
route__wirelength__iter:2,31389
route__drc_errors,0
route__wirelength,31389
route__vias,1740
route__vias__singlecut,1740
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,427.19
design__instance__count__class:fill_cell,509
design__instance__area__class:fill_cell,13491.7
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99984
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99995
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.000157922
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.000148943
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.0000479764
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.000148943
design_powergrid__voltage__worst,0.000148943
design_powergrid__voltage__worst__net:VDD,4.99984
design_powergrid__drop__worst,0.000157922
design_powergrid__drop__worst__net:VDD,0.000157922
design_powergrid__voltage__worst__net:VSS,0.000148943
design_powergrid__drop__worst__net:VSS,0.000148943
ir__voltage__worst,5
ir__drop__avg,0.000054200000000000002841303581302412339937291108071804046630859375
ir__drop__worst,0.0001579999999999999915796522476085783637245185673236846923828125
design__xor_difference__count,0
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
